bug report ID,sentence,intention
1, MattN noticed a problem with the WIP patch from bug 469443 applied.,0
1," When typing in the search box, sometimes search-suggestion entries would be displayed above the divider (where entries for previous matching searches are).",0
1, The problem here is that nsSearchSuggestions.js is passing the wrong previousResult to form history.,0
1," Instead of it being the previous form history search result, it's the SuggestAutoCompleteResult result (which contains the union of the form-history and search-suggest entries).",0
1," So, when form history refines its results as you time, it can actually add *more* entries as data leaks from the suggestions result into form history result, and it thus looks like the divider is being drawn in the wrong place.",5
1," This bug wasn't visible before 469443, because nsFormFillController::StartSearch tries to QI the provided result to a nsIAutoCompleteSimpleResult. ",0
1," The search-suggestion result is only implements nsIAutoCompletResult (no \""Simple\""), so the QI fails, historyResult nee previousResult becomes null, and thus Satchel was doing a new search every time.",0
1, EG:,0
1," 1) type \""b\"" in the search field.",0
1," 2) form history finds 1 entry (\""blah\""), search-suggestions finds \""baaa\"", \""bloop\"", \""bzzz\"", the autocompete menu shows these in order with a divider between \""blah\"" and \""baaa\"".",0
1," 3) type an \""l\"" in the search field (\""bl\"")",0
1," 4) startHistorySearch()'s previous result contains [\""blah\"", \""baaa\"", \""bloop\"", \""bzzz\""], Satchel filters this down to [\""blah\"", \""bloop\""] to match the new \""bl\"" search string",0
1," 5) nsSearchSuggestions's onReadyState() change is called with updated search suggestions, builds up a new list of results, but sees that the form history result now has *two* entries.",0
1, Created an attachment (id=380567) [details] Patch v.1 (WIP),6
1," This fixes the problem, but isn't quite correct...",2
1," If you type \""a&lt;backspace&gt;b\"", satchel trying to use the results from the \""a\"" search for the \""b\"" search, and so nothing is found. ",0
1," I suspect nsSearchSuggestions needs to throw away the old form history result when the search string changes like this, but I'm not entirely sure it's responsible for doing so, maybe satchel should be smarter about throwing away a previous result when the previous result's search string doesn't have a common prefix.",2
1," [That seems to be handled somewhere else for normal form field entries, oddly enough.]",2
1, Created an attachment (id=383211) [details] Patch v.2,6
1," Ah. So, there's a ._formHistoryResult in the SuggestAutoCompleteResult wrapper (used to combine form history with search suggestions), and also a ._formHistoryResult in SuggestAutoComplete (the service itself, used to hold onto a form history result until a search suggestion is available).",0
1, The simple fix it to just discard the service's form history result copy when startSearch() is called with a null previous result.,1
1, Otherwise it's trying to use a old form history result that no longer applies for the search string.,1
1, (From update of attachment 383211 [details]),6
1, Perhaps we should rename one of them to _fhResult just to reduce confusion?,5
1, (In reply to comment #3),6
1, &gt; (From update of attachment 383211 [details] [details]),6
1, &gt; Perhaps we should rename one of them to _fhResult just to reduce confusion?,6
1, Good point.,6
1, I renamed the one in the wrapper to _formHistResult. ,1
1, fhResult seemed maybe a bit too short.,2
1, Pushed http://hg.mozilla.org/mozilla-central/rev/097598383614,4
2, That pref was thought to be for extensions which wanted to completely replace our own Session Restore functionality.,0
2," While this has worked somehow for Tab Mix Plus, we've had several issues with people ending up both Session Restore and Tab Mix Plus disabled (see bug 435055 and its duplicates).",0
2," Furthermore, there are several code points which will also break when Session Restore has been disabled (such as the list of recently closed tabs).",0
2," Instead of adding try-catch-blocks wherever we use Session Restore, I'd much rather encourage extensions authors to override both nsSessionStartup and nsSessionStore to provide the same API with their own functionality (or implementing a dummy-API and making sure for themselves that they've correctly replaced all known consumers).",5
2, This would also make the lives of those other extension authors simpler who so far can't be too sure that the Session Store component actually works (through whatever implementation).,5
2, Note that privacy concerned users will still be able to disable writing to sessionstore.js through the browser.sessionstore.resume_from_crash pref.,5
2, Created an attachment (id=332726) [details] ,6
2, remove the pref,6
2, (note: bug 448725 should be wontfixed if this is fixed),6
2, Created an attachment (id=333820) [details],6
2, remove (buggy) note from API comments,6
2, (From update of attachment 332726 [details]),4
2," a problem with this patch is that the session data is still stored in memory while the app is running, and by removing this pref, there's no way to disable that.",0
2," some users do not want the recently-closed-tabs menu, and others don't want any session tracks stored in memory at all.",2
2, (In reply to comment #4),6
2," &gt; some users do not want the recently-closed-tabs menu,",4
2, That's what browser.sessionstore.max_tabs_undo is for: setting it to 0 effectively disables the feature.,1
2, &gt; and others don't want any session tracks stored in memory at all.,4
2," Then again, we don't save any data that wouldn't be in memory, anyway, or do we?",3
2, I'd rather introduce a different pref or different means to cater the privacy sensitive users than have this half-baked cut-it-all pref which AFAICT so far has produced more issues than it's solved.,5
2, (In reply to comment #5),4
2," &gt; Then again, we don't save any data that wouldn't be in memory, anyway, or do we?",4
2, Fair point. I'm not sure.,6
2, &gt; I'd rather introduce a different pref or different means to cater the privacy sensitive users than have this half-baked cut-it-all pref which AFAICT so far has produced more issues than it's solved.,4
2," Yes, agreed the pref is not ideal for this purpose.",2
2," So max_tabs_undo=0 + resume_from_crash=false is fine for now, until proper \""private browsing\"" is supported.",2
2, (From update of attachment 332726 [details]),4
2, &gt;+            // XXXzeniko should't we just disable this item as we disable,4
2, &gt;+            // the tabbrowser-multiple items above - for consistency?,4
2, &gt;+            this.mUndoCloseTabMenuItem.hidden =,4
2," &gt;+              Cc[\""@mozilla.org/browser/sessionstore;1\""].",4
2, &gt;+              getService(Ci.nsISessionStore).,4
2, &gt;+              getClosedTabCount(window) == 0;,4
2,1,4
2, r=me,4
2, (In reply to comment #7),4
2, &gt; +1,4
2, That's bug 350731.,6
2, Care to convince mconnor that he's wrong? ;-),6
2, Pushed as 17120:e712e96d7861 and 17121:adb1ef78dd21.,4
2, onemen: This patch significantly affects Tab Mix Plus:,4
2," Instead of disabling SessionStore, you'll now have to replace it by shipping a component which implements the same API.",5
2," You should be able to keep that component minimal, though, and just call your own code whenever the API is used.",5
2," This will make the lives of people using the SessionStore API (such as Session Manager) somewhat simpler, as they can just use the API without having to worry too much about the implementation behind it.",2
2," If you want to offer the option of switching between your and our implementation, see e.g. the ignore-history component of the Torbutton extension for how to overwrite a component with the original still being available internally (so that you can either pass API calls forward or handle them yourself).",5
2, Sounds like this has impact for extension authors and so should be documented on MDC,5
2, no problem.,6
2, current Tabmix dev-build already not disable SessionStore,2
